Attendance,Attendance Status,Bonus,Date,Director,Email,Gender,Job Level,Month,Name,Please enter your feedback,Please enter your score,Please select your location,Quarter,Salary,Senior Manager,Team,Training
Present,99,4061.87,2025-01-07,James Johnson,tamaraedwards@gmail.com,Male,Lead,December,Christina Wang,Direction trip serve politics mean evening same day account.,2,Tokyo,Q3,99395.66,Andre Miller,Development,Pending
Absent,58,2266.0,2025-04-21,Jeffery Carney,david24@olson.info,Other,Senior,December,Phillip Hunt,Court agree usually political mind modern event west before officer mouth weight thank.,7,Sydney,Q1,58771.63,Mark Smith,Support,Completed
Absent,66,4984.66,2025-05-05,Shawn Haas,tyronemcdaniel@gutierrez-bradley.biz,Female,Mid,August,Jonathan Olson,Three low energy third effort wear a high series treat add west.,1,New York,Q2,98860.53,Scott Wright,HR,Pending
Present,75,4690.13,2025-02-06,Karen Mcguire,robinsonluis@orozco.com,Female,Mid,January,Gary Powell,Together night four first both think book wall day especially among wear.,1,Mumbai,Q2,99636.97,Randy Ortega,Development,In Progress
Absent,28,3535.2,2025-02-09,Lance Jones,christopher23@pham-sanchez.com,Female,Lead,March,Kathryn Hampton,Modern free point side military executive least week beyond current.,7,Tokyo,Q4,42112.66,Emily Johnson,Marketing,Completed
Present,44,3245.96,2025-04-06,Ray Chapman,meganpark@stark.biz,Female,Lead,May,Jerry Burgess,Capital indicate off eat spend challenge end sort us decision audience building beautiful.,1,New York,Q2,31801.56,Amanda Gibbs,HR,Pending
Present,45,4440.94,2025-03-06,Katherine Johnson,dwashington@snow.com,Other,Senior,January,John Ford,Capital world grow whatever challenge wish.,8,New York,Q1,60004.07,Dr. Christopher Bautista,HR,Completed
Absent,49,4783.49,2025-02-06,Stephanie Gonzalez,jnolan@mccoy.info,Male,Senior,December,Sarah Fuller,Quality see same say event wall girl brother.,6,Mumbai,Q2,43908.76,Jesus Perkins,Development,Completed
Present,18,4735.65,2025-03-31,Robert Salazar,matthewgonzales@yahoo.com,Female,Junior,April,James Hamilton,Fact stop heavy property federal dinner would president unit these bed.,6,Tokyo,Q1,116637.33,Jasmin Frazier,Support,Completed
Present,94,1447.91,2025-03-21,Madeline Heath,jamesglenn@hotmail.com,Male,Mid,August,Sarah Lynch,Interview mother should white under value campaign knowledge.,10,Sydney,Q2,104007.99,Kristi Summers,HR,Pending
Present,42,3753.61,2025-02-11,Lori Hamilton,nnelson@hotmail.com,Other,Lead,March,Joseph Reed,Fish form system so eye method factor character any.,4,London,Q1,72394.77,Samuel Conley,HR,Pending
Absent,19,4613.48,2025-03-17,Sydney Noble,kimberly89@newman-long.com,Female,Mid,November,David Lawson,Attorney drive center today dog member ok arrive mean social finish.,8,Mumbai,Q3,98683.2,Wendy Wu,Development,In Progress
Present,47,4905.58,2025-04-06,Ryan Duncan,hinesjoshua@olsen-clark.com,Female,Senior,April,Sylvia Mosley,Color minute society memory ground community allow design have even.,7,Tokyo,Q2,61766.86,Lynn Goodman,Support,Pending
Absent,35,3669.09,2025-01-11,Mrs. Emily Allen MD,kerrjason@cervantes.biz,Other,Senior,March,Mary Hamilton,Authority manager authority owner need data.,6,Tokyo,Q4,60489.46,Alexis Andersen,Sales,Completed
Absent,51,4048.46,2025-03-28,Jennifer Quinn DVM,ygarza@pierce-meyer.info,Female,Lead,February,Lisa Moore,Fall road I address than serious marriage might each send.,5,London,Q1,89952.79,William Brown,Marketing,In Progress
Absent,20,2312.43,2025-03-15,Mr. Donald Smith,thomasandrew@gmail.com,Other,Lead,June,Robert Bell,Stock sit east himself enjoy law.,10,Mumbai,Q3,49095.89,Gary Johnson,HR,Completed
Present,84,3072.58,2025-03-07,Carl Brown,loricunningham@weaver.net,Female,Lead,November,John Brown,Certain government sell past break southern thus main speak reach yourself.,9,Mumbai,Q1,65222.05,Jacob Atkinson,HR,In Progress
Present,61,1490.59,2025-03-08,Robert Allen,shunter@davies.biz,Male,Senior,June,Mr. Thomas Mason,Condition thought fly visit letter ten example break.,5,Sydney,Q2,36655.87,Tonya Moreno,Development,In Progress
